X,Y,Z,EDA,HR,TEMP,id,datetime,label,anomaly_flag
30,17,54,5.728605,86.09,30.9,9,00:00:00,0,0
26,-64,-94,5.78105,82.38,31.05,13,00:01:00,0,0
-6,-62,16,5.741754,85.61,31.07,4,00:02:00,0,0
83,67,43,5.791846,86.69,31.07,1,00:03:00,0,0
-95,-25,14,5.907087,84.74,31.07,12,00:04:00,0,0
49,-52,77,5.736045,83.37,31.02,16,00:05:00,0,0
-33,-42,29,5.671543,86.85,31.01,10,00:06:00,0,0
0,53,31,5.906796,82.99,31.14,6,00:07:00,0,0
-80,2,52,5.935977,84.91,30.91,5,00:08:00,0,0
55,94,31,5.638031,85.68,31.04,15,00:09:00,0,0
-32,-55,52,5.679889,85.15,31.08,3,00:10:00,0,0
-72,-63,96,5.917667,85.74,31.13,14,00:11:00,0,0
41,-45,33,5.830375,85.18,31.04,15,00:12:00,0,0
-64,24,-48,5.68584,84.96,30.84,5,00:13:00,0,0
-84,31,-87,5.757974,85.44,31.12,7,00:14:00,0,0
93,46,-100,5.935365,84.96,30.91,4,00:15:00,0,0
-52,11,7,5.726855,87.59,30.83,16,00:16:00,0,0
13,74,-86,5.840926,84.28,30.78,16,00:17:00,0,0
-39,95,50,5.777857,85.79,30.96,8,00:18:00,0,0
57,23,-76,5.775774,83.95,31.08,1,00:19:00,0,0
76,68,97,5.748557,82.92,30.87,12,00:20:00,0,0
66,-59,88,5.898651,83.24,30.81,4,00:21:00,0,0
-59,-8,-97,5.93725,83.72,30.92,4,00:22:00,0,0
-61,-9,72,5.771597,85.78,31.02,8,00:23:00,0,0
-96,91,89,5.835419,85.93,31.11,15,00:24:00,0,0
64,-8,-60,5.766496,84.79,31.01,3,00:25:00,0,0
64,24,4,5.767618,88.52,31.09,5,00:26:00,0,0
-41,-47,49,5.96122,83.65,31.07,14,00:27:00,0,0
-85,95,26,5.72494,87.17,30.95,7,00:28:00,0,0
-92,99,-23,5.813628,82.63,31.07,15,00:29:00,0,0
63,29,-31,6.535111,94.6,31.17,2,00:30:00,1,0
91,68,-47,6.560906,94.14,31.15,9,00:31:00,1,0
44,48,80,6.287346,96.86,31.25,11,00:32:00,1,0
-64,11,-94,6.48271,96.74,30.96,12,00:33:00,1,0
25,-100,30,6.327376,99.17,30.98,12,00:34:00,1,0
40,4,60,6.386979,94.2,31.21,6,00:35:00,1,0
-1,-76,47,6.668323,102.42,31.05,1,00:36:00,1,0
5,49,-6,6.337058,98.26,31.21,1,00:37:00,1,0
93,33,91,6.346115,93.26,31.15,1,00:38:00,1,0
56,87,61,6.406195,92.47,31.12,1,00:39:00,1,0
-49,-26,-9,6.3396,93.48,31.19,2,00:40:00,1,0
-14,-5,-70,6.392726,93.28,31.32,15,00:41:00,1,0
-94,62,23,6.660982,92.59,31.26,18,00:42:00,1,0
4,1,-8,6.136431,89.91,31.06,12,00:43:00,1,0
